Sender;Ngram;Count
Bad Boy;('≡ƒæì', 'alright');1
Bad Boy;('alright', 'geezer');1
Bad Boy;('geezer', '?');1
Bad Boy;('?', 'I');4
Bad Boy;('I', 'want');1
Bad Boy;('want', 'to');1
Bad Boy;('to', 'trade');1
Bad Boy;('trade', '.');1
Bad Boy;('.', 'The');2
Bad Boy;('The', 'boys');1
Bad Boy;('boys', 'let');1
Bad Boy;('let', 'me');1
Bad Boy;('me', 'know');1
Bad Boy;('know', 'you');2
Bad Boy;('you', 'deal');1
Bad Boy;('deal', 'in');1
Bad Boy;('in', 'cheap');1
Bad Boy;('cheap', 'gear');1
Bad Boy;('gear', 'and');2
Bad Boy;('and', 'occasionally');1
Bad Boy;('occasionally', 'I');1
Bad Boy;('I', 'get');2
Bad Boy;('get', 'some');1
Bad Boy;('some', 'to');1
Bad Boy;('to', 'sell');1
Bad Boy;('sell', 'and');1
Bad Boy;('and', 'every');1
Bad Boy;('every', 'now');1
Bad Boy;('now', 'and');1
Bad Boy;('and', 'then');1
Bad Boy;('then', 'I');1
Bad Boy;('I', 'need');4
Bad Boy;('need', 'to');2
Bad Boy;('to', 'buy');2
Bad Boy;('buy', '...');1
Bad Boy;('...', 'Yer');1
Bad Boy;('Yer', 'I');1
Bad Boy;('I', 'know');2
Bad Boy;('know', ',');1
Bad Boy;(',', 'listen');1
Bad Boy;('listen', 'I');1
Bad Boy;('I', "'m");2
Bad Boy;("'m", 'sorry');1
Bad Boy;('sorry', 'man');1
Bad Boy;('man', 'but');1
Bad Boy;('but', 'learnt');1
Bad Boy;('learnt', 'my');1
Bad Boy;('my', 'lesson');1
Bad Boy;('lesson', '.');1
Bad Boy;('.', 'It');1
Bad Boy;('It', 'wo');1
Bad Boy;('wo', "n't");3
Bad Boy;("n't", 'happen');1
Bad Boy;('happen', 'again');1
Bad Boy;('again', 'I');1
Bad Boy;('I', 'promise');1
Bad Boy;('promise', '.');1
Bad Boy;('.', 'This');2
Bad Boy;('This', 'time');1
Bad Boy;('time', 'it');1
Bad Boy;('it', 'will');1
Bad Boy;('will', 'be');2
Bad Boy;('be', 'different');1
Bad Boy;('different', '..');1
Bad Boy;('..', 'Seriously');1
Bad Boy;('Seriously', 'you');1
Bad Boy;('you', 'can');1
Bad Boy;('can', 'trust');1
Bad Boy;('trust', 'me');1
Bad Boy;('me', '.');2
Bad Boy;('.', 'I');10
Bad Boy;('I', 'wo');1
Bad Boy;("n't", 'make');1
Bad Boy;('make', 'the');1
Bad Boy;('the', 'same');1
Bad Boy;('same', 'mistake');1
Bad Boy;('mistake', 'twice');1
Bad Boy;('twice', '.');1
Bad Boy;('I', 'will');2
Bad Boy;('will', 'pay');1
Bad Boy;('pay', 'on');1
Bad Boy;('on', 'time');1
Bad Boy;('time', 'and');1
Bad Boy;('and', 'keep');1
Bad Boy;('keep', 'your');1
Bad Boy;('your', 'secrets');1
Bad Boy;('secrets', '.');1
Bad Boy;('.', 'In');1
Bad Boy;('In', 'my');1
Bad Boy;('my', 'honor');1
Bad Boy;('honor', 'Ok');1
Bad Boy;('Ok', 'I');3
Bad Boy;('I', 'understand');1
Bad Boy;('understand', ',');1
Bad Boy;(',', 'thanks');1
Bad Boy;('thanks', '.');1
Bad Boy;('.', 'Did');2
Bad Boy;('Did', 'he');1
Bad Boy;('he', 'say');1
Bad Boy;('say', 'yes');1
Bad Boy;('yes', '?');1
Bad Boy;('?', 'nan');3
Bad Boy;('nan', 'Yes');1
Bad Boy;('Yes', 'ok');3
Bad Boy;('ok', 'thanks');1
Bad Boy;('thanks', 'man');1
Bad Boy;('man', '.');4
Bad Boy;('.', 'You');1
Bad Boy;('You', 'wo');1
Bad Boy;("n't", 'regret');1
Bad Boy;('regret', 'it');1
Bad Boy;('it', '..');1
Bad Boy;('..', 'Ok');1
Bad Boy;('Ok', 'boss');1
Bad Boy;('boss', 'will');1
Bad Boy;('will', 'do');1
Bad Boy;('do', '...');1
Bad Boy;('...', 'I');1
Bad Boy;('I', 'heard');1
Bad Boy;('heard', 'these');1
Bad Boy;('these', 'apartments');1
Bad Boy;('apartments', 'are');1
Bad Boy;('are', 'super');1
Bad Boy;('super', 'expensive');1
Bad Boy;('expensive', '?');1
Bad Boy;('?', 'https');1
Bad Boy;('https', ':');2
Bad Boy;(':', '//images.app.goo.gl/W8yKUaPs697HTjms6');1
Bad Boy;('//images.app.goo.gl/W8yKUaPs697HTjms6', 'nan');1
Bad Boy;('nan', 'How');2
Bad Boy;('How', 'about');1
Bad Boy;('about', 'this');1
Bad Boy;('this', '?');1
Bad Boy;('?', '9000kr');1
Bad Boy;('9000kr', 'should');1
Bad Boy;('should', 'be');1
Bad Boy;('be', 'enough');1
Bad Boy;('enough', 'to');1
Bad Boy;('to', 'let');1
Bad Boy;('let', 'this');1
Bad Boy;('this', 'little');1
Bad Boy;('little', 'lot');1
Bad Boy;('lot', 'go');1
Bad Boy;('go', 'to');1
Bad Boy;('to', 'you');2
Bad Boy;('you', 'my');2
Bad Boy;('my', 'friend');2
Bad Boy;('friend', 'Ok');1
Bad Boy;('Ok', 'let');1
Bad Boy;('let', "'s");3
Bad Boy;("'s", 'meet');1
Bad Boy;('meet', 'up');1
Bad Boy;('up', 'today');1
Bad Boy;('today', 'for');1
Bad Boy;('for', 'the');1
Bad Boy;('the', 'exchange');1
Bad Boy;('exchange', '.');1
Bad Boy;('I', 'bring');1
Bad Boy;('bring', 'the');3
Bad Boy;('the', 'gear');3
Bad Boy;('and', 'you');2
Bad Boy;('you', 'bring');2
Bad Boy;('the', 'cash');3
Bad Boy;('cash', '.');2
Bad Boy;('.', 'Next');1
Bad Boy;('Next', '30');1
Bad Boy;('30', 'mins');2
Bad Boy;('mins', '?');1
Bad Boy;('?', '?');13
Bad Boy;('?', 'Ok');4
Bad Boy;('Ok', 'and');1
Bad Boy;('the', 'money');1
Bad Boy;('money', '.');1
Bad Boy;('.', 'By');1
Bad Boy;('By', 'the');1
Bad Boy;('the', 'way');1
Bad Boy;('way', 'stop');1
Bad Boy;('stop', 'calling');1
Bad Boy;('calling', 'me');1
Bad Boy;('me', "'shortly");1
Bad Boy;("'shortly", "'");1
Bad Boy;("'", 'Pleasure');1
Bad Boy;('Pleasure', 'doing');2
Bad Boy;('doing', 'business');2
Bad Boy;('business', 'with');2
Bad Boy;('with', 'you');2
Bad Boy;('you', '...');1
Bad Boy;('...', 'One');1
Bad Boy;('One', 'good');1
Bad Boy;('good', 'deal');1
Bad Boy;('deal', ',');1
Bad Boy;(',', 'deserves');1
Bad Boy;('deserves', 'another');1
Bad Boy;('another', '..');1
Bad Boy;('..', 'So');1
